dataset_length,DBStream,LSTM-AD,Normalizing Flows,S2G++1p,S2G++1p-KDE,S2G++1p-KDE-0.5.0,S2G++20p,S2G++20p-KDE,S2G++20p-KDE-0.5.0,S2G++20p-KDE-Distributed,Torsk,k-Means,mSTAMP
10000,10.227339267730711,3.461778163909912,6.90960693359375,4.804872512817383,5.918115854263306,1.2590453624725342,1.8634204864501955,2.503420352935791,1.0576138496398926,1.41,12.62040376663208,7.676753282546997,20.640787363052368
20000,11.52513551712036,7.165915012359619,8.057355165481567,7.166054725646973,2.19441556930542,1.520268440246582,2.04410982131958,5.007480621337891,1.2244758605957031,1.2533333333333332,27.210801124572757,16.254281520843506,29.360694408416748
40000,16.832045078277588,8.357518911361694,7.509578227996826,14.23682427406311,3.2447350025177,2.1500868797302246,3.269566297531128,2.272424459457397,1.5559918880462646,1.36,45.514671087265015,31.466975212097168,47.14272928237915
80000,18.88398051261902,9.481351137161257,5.80189323425293,62.43180704116821,4.564451694488525,3.5212576389312744,12.52330756187439,5.581613063812256,2.2089662551879883,1.6033333333333335,91.35614323616028,49.20267128944397,86.41613125801086
160000,40.37727689743042,18.29470014572144,6.797325134277344,261.56356167793274,15.615127086639404,5.985265016555786,28.568026781082157,4.786093711853027,3.631556510925293,2.12,220.10170793533325,83.61962842941284,202.81095695495603
320000,55.79813599586487,25.70034646987915,8.99202823638916,1134.4609916210177,14.12509560585022,12.210413694381714,132.5793354511261,18.787717819213867,6.800578355789185,3.0366666666666666,360.8617589473725,219.4471471309662,592.9170122146606
640000,110.84540152549744,54.3338680267334,16.213715076446533,4980.513747215271,25.790976762771606,23.092347621917725,467.8613278865814,21.96495604515076,12.337422370910645,4.483333333333333,628.6949863433838,325.13555216789246,3177.5202515125275
1280000,214.62851285934448,94.41325092315674,24.490195989608765,19462.465144634247,49.22652077674866,43.271509647369385,2233.226362466812,29.59044194221497,25.968223571777344,7.8,1252.505578994751,846.6381525993347,9934.105323553084
2560000,434.370187997818,,38.41845941543579,,98.77990531921388,85.2001461982727,,57.45022702217102,54.831135988235474,14.386666666666665,2483.037188053131,1274.8835136890411,
5120000,918.3044457435608,,,,,150.84423565864563,,,114.48704314231873,28.30333333333333,5522.755763053894,2093.787529706955,
